id,title,genres,subscription_price,release_date,country
1,Compatible system-worthy support,Action|Horror,$9.78,1992-02-28,DE
2,Organic tertiary migration,Action|Romance,$8.64,2012-06-20,UK
3,Phased intermediate throughput,Sci-Fi|Drama|Thriller,$5.27,2006-05-24,ES
4,Pre-emptive impactful adapter,Drama|Action|Comedy,$12.32,1982-04-13,UK
5,Multi-lateral client-driven Local Area Network,Comedy|Drama|Thriller,$16.37,invalid-date,US
6,Visionary secondary intranet,Romance|Thriller|Drama,$10.08,1988-05-30,ES
7,Monitored asynchronous infrastructure,Romance,$11.11,2021-11-24,ES
8,Organic 24hour approach,Thriller,$11.86,1994-07-14,UK
9,Grass-roots contextually-based toolset,Comedy|Thriller,$17.5,2018-02-13,UK
10,Cross-group mobile knowledge user,Action,$12.39,2020-11-24,ES
11,Focused intangible policy,Horror|Sci-Fi,$12.48,1985-10-17,JP
12,Integrated logistical hub,Romance,$7.32,1988-01-11,FR
13,Ameliorated needs-based secured line,Comedy,$5.04,1997-09-07,UK
14,De-engineered multi-tasking standardization,Thriller|Romance,$10.57,2016-12-20,JP
15,Phased empowering pricing structure,Sci-Fi,$16.47,1987-06-01,DE
16,Secured reciprocal structure,Drama,$19.58,2011-10-21,UK
17,Enhanced grid-enabled algorithm,Comedy,$12.46,2018-12-09,FR
18,Expanded solution-oriented superstructure,Drama|Action,$11.33,2013-11-12,US
19,Monitored upward-trending capability,Horror,$12.19,2004-07-21,FR
20,Streamlined motivating functionalities,Drama|Horror|Action,null,invalid-date,US
21,Switchable didactic parallelism,Horror|Action,$13.46,1984-03-27,UK
22,Cross-platform national info-mediaries,Horror|Comedy|Drama,$11.14,2003-08-27,DE
23,Fully-configurable 24hour open system,Horror|Sci-Fi|Romance,$14.33,2001-04-13,UK
24,Streamlined systematic migration,Horror|Romance|Drama,$19.68,2020-12-16,FR
25,Synchronized content-based synergy,Sci-Fi|Horror|Romance,$15.5,2021-01-04,DE
26,Seamless disintermediate middleware,Comedy|Thriller,$19.05,1987-07-10,ES
27,Public-key directional capacity,,$9.11,1999-03-13,FR
28,Self-enabling 5thgeneration core,Horror|Romance|Action,$5.12,2020-11-08,ES
29,Synchronized systematic encryption,Sci-Fi,null,1992-10-22,US
30,Inverse logistical protocol,Thriller|Romance|Sci-Fi,null,1982-06-20,UK
31,Decentralized even-keeled implementation,Horror|Romance,$13.73,1993-04-27,UK
32,Synergistic web-enabled initiative,Romance|Drama|Comedy,$11.9,2019-08-23,FR
33,Exclusive 3rdgeneration throughput,Thriller,$14.15,2016-04-16,ES
34,Team-oriented systemic orchestration,Sci-Fi,$5.46,1985-05-09,DE
35,Operative methodical framework,Comedy|Action|Horror,$19.75,2017-12-07,JP
36,Synchronized client-server array,Drama,$9.07,1998-05-10,DE
37,Reduced dynamic infrastructure,Thriller|Horror|Comedy,$14.57,1988-05-27,DE
38,Networked logistical methodology,Sci-Fi,$11.51,2002-02-08,FR
39,Triple-buffered object-oriented capacity,Sci-Fi|Comedy|Thriller,$15.14,1991-04-01,US
40,Face-to-face next generation middleware,Romance|Comedy|Sci-Fi,$12.36,2016-06-30,FR
41,Quality-focused attitude-oriented algorithm,Sci-Fi,$8.82,1996-05-15,DE
42,Seamless neutral paradigm,Drama|Horror,$5.47,2011-08-08,ES
43,Switchable 6thgeneration parallelism,Sci-Fi|Horror|Comedy,$15.46,2021-01-14,DE
44,Adaptive 3rdgeneration customer loyalty,Sci-Fi,$13.41,2002-03-06,DE
45,Up-sized secondary project,Horror|Sci-Fi|Action,$11.44,2001-06-25,US
46,Multi-lateral asymmetric protocol,Thriller|Action|Comedy,$18.67,2011-06-15,ES
47,Right-sized heuristic groupware,Comedy|Romance|Action,$9.48,invalid-date,UK
48,Organic mission-critical attitude,Sci-Fi|Romance,$16.3,2009-07-12,US
49,Automated client-server database,Sci-Fi|Thriller,$14.05,2015-06-27,UK
50,Stand-alone zero-defect implementation,Thriller|Comedy,$12.69,1980-12-08,JP
51,Switchable zero administration infrastructure,Action,$7.91,1998-11-09,US
52,Multi-tiered 24/7 time-frame,Drama,$14.49,invalid-date,ES
53,Automated motivating projection,Thriller,$6.91,1982-02-22,FR
54,Organized neutral hierarchy,,$6.28,2003-04-24,UK
55,Team-oriented intermediate circuit,Comedy,$15.21,2012-11-30,DE
56,De-engineered methodical paradigm,Horror|Sci-Fi,$16.2,1993-05-18,UK
57,Self-enabling disintermediate capability,Sci-Fi|Thriller,$10.29,1997-09-08,FR
58,Robust dynamic matrices,Sci-Fi|Drama,$9.31,2004-08-20,US
59,Monitored zero-defect definition,Action,$5.62,2003-11-11,UK
60,Horizontal well-modulated productivity,Drama|Thriller,$11.59,2004-09-14,US
61,Public-key directional hardware,Thriller,$11.72,1987-11-12,FR
62,Re-contextualized incremental benchmark,Drama|Horror|Sci-Fi,$14.28,1992-12-09,JP
63,Intuitive regional help-desk,Drama,$15.84,2022-03-30,FR
64,Persistent systematic capability,Comedy,$9.22,1990-09-04,JP
65,Integrated 4thgeneration encryption,Action,$19.51,2008-09-09,US
66,Fundamental directional website,Comedy,$10.25,2011-12-09,DE
67,Robust modular open system,,$18.71,1999-08-30,JP
68,Quality-focused real-time process improvement,Action|Drama|Comedy,$13.15,2022-10-24,ES
69,Synergistic scalable projection,Thriller,$11.32,1981-01-30,FR
70,Configurable transitional complexity,Comedy|Action,$15.83,1983-06-30,US
71,Public-key value-added benchmark,Action,$18.39,1993-08-02,UK
72,Phased 6thgeneration support,Drama|Action|Thriller,$14.78,2011-04-11,US
73,Devolved secondary installation,Romance,$10.52,1994-06-05,ES
74,Persistent discrete analyzer,Sci-Fi|Comedy,$19.73,2022-03-13,US
75,Customizable intermediate Graphic Interface,Sci-Fi,$10.45,1997-06-05,UK
76,Balanced uniform database,Action|Romance|Horror,$16.09,2013-06-06,US
77,Distributed fault-tolerant firmware,Comedy|Action|Sci-Fi,$13.52,1998-05-29,UK
78,Universal eco-centric model,Sci-Fi,$6.5,2009-05-04,UK
79,Seamless regional Graphical User Interface,Sci-Fi,$10.96,1994-06-17,US
80,Innovative asynchronous frame,Action|Sci-Fi|Drama,$16.07,1995-04-16,FR
81,Multi-lateral next generation architecture,Thriller|Comedy,$13.3,1991-03-30,US
82,Multi-lateral high-level software,Comedy,$7.39,2010-07-07,US
83,Down-sized content-based success,Horror|Sci-Fi|Action,$10.78,1990-10-17,FR
84,Integrated fault-tolerant budgetary management,Romance,$19.38,1995-08-21,ES
85,Re-contextualized web-enabled Graphical User Interface,Romance,$15.22,2017-11-02,US
86,Quality-focused analyzing forecast,Thriller|Comedy,$5.69,2014-03-16,DE
87,Assimilated reciprocal circuit,Comedy|Horror,$16.45,2000-10-26,US
88,Polarized value-added superstructure,Drama|Horror|Romance,$19.84,2019-05-09,UK
89,Persevering real-time archive,Action|Drama,$13.54,2009-04-27,US
90,Synergized clear-thinking workforce,Action,$16.18,1986-06-20,ES
91,Self-enabling system-worthy superstructure,Action|Sci-Fi,$7.96,1996-03-31,US
92,Profound even-keeled workforce,Horror,$19.86,invalid-date,JP
93,Re-contextualized bifurcated monitoring,Thriller|Drama|Comedy,$12.98,2020-01-04,ES
94,Progressive human-resource interface,Thriller|Romance|Comedy,$5.59,2008-08-26,JP
95,Virtual empowering time-frame,Drama|Thriller,$16.86,2010-04-05,US
96,Reverse-engineered intangible superstructure,Action|Comedy|Horror,$10.63,1981-07-22,UK
97,Seamless reciprocal functionalities,Thriller,$12.15,2007-04-05,US
98,Assimilated maximized intranet,Thriller|Action,$9.41,1988-08-26,DE
99,Programmable context-sensitive open architecture,Thriller,$6.05,2020-01-18,ES
100,Profound dedicated matrix,,$15.05,2000-11-14,UK
101,Versatile multi-tasking access,Action|Drama|Sci-Fi,$6.27,2019-02-17,ES
102,Adaptive multi-state hub,Comedy|Thriller,$18.68,2015-02-05,FR
103,Digitized tangible product,Thriller|Comedy,$18.15,2020-11-30,DE
104,Horizontal exuding capacity,Horror|Romance,$17.61,1992-12-04,JP
105,Vision-oriented multimedia function,Action|Drama|Sci-Fi,$18.95,2018-09-17,ES
106,Sharable neutral Graphical User Interface,Thriller|Horror,$19.31,2021-02-10,DE
107,Future-proofed didactic system engine,Romance,$15.0,2022-10-24,JP
108,Seamless methodical infrastructure,Horror|Romance,$8.73,2000-02-17,FR
109,Face-to-face 3rdgeneration product,Comedy|Drama,$19.47,2016-06-19,DE
110,User-friendly bottom-line utilization,Drama|Sci-Fi,$8.74,2009-07-06,JP
111,Function-based 24/7 benchmark,Sci-Fi|Horror,$17.88,1980-03-27,FR
112,Profound even-keeled throughput,Comedy|Thriller,null,2010-03-30,ES
113,Up-sized zero tolerance throughput,Thriller|Horror|Romance,$18.36,2001-04-09,DE
114,Assimilated holistic encoding,Thriller,$19.29,1991-10-11,UK
115,Decentralized client-driven structure,,$16.69,2021-10-04,JP
116,Organized uniform leverage,Action|Thriller|Drama,$10.93,1997-10-26,UK
117,Reactive well-modulated infrastructure,Thriller|Comedy|Horror,$11.32,2019-03-19,DE
118,Assimilated asynchronous frame,Thriller|Drama|Romance,$6.49,invalid-date,UK
119,Organized user-facing info-mediaries,Sci-Fi|Horror|Romance,$19.69,2019-12-19,UK
120,Adaptive client-driven throughput,Comedy,$7.74,1983-04-12,JP
121,Object-based tangible approach,,$9.52,1993-04-22,US
122,Secured context-sensitive Graphical User Interface,Romance|Thriller,$7.62,2011-07-17,JP
123,Expanded global budgetary management,Comedy,$14.31,1983-10-19,UK
124,Synergistic fresh-thinking help-desk,Thriller,$17.24,2011-12-25,ES
125,Configurable web-enabled functionalities,Action,null,2015-03-24,US
126,Adaptive leadingedge contingency,Comedy|Sci-Fi|Romance,null,2014-07-14,DE
127,Balanced eco-centric encryption,Comedy|Action|Drama,$19.66,2005-09-21,ES
128,Pre-emptive web-enabled alliance,Action|Horror|Sci-Fi,$16.53,1992-08-21,ES
129,Diverse 5thgeneration projection,Romance,$11.76,invalid-date,UK
130,Focused systematic framework,Romance|Comedy|Thriller,null,1982-12-02,US
131,Profound responsive Graphic Interface,Comedy,$16.43,2003-07-24,JP
132,Right-sized eco-centric extranet,,$15.49,1992-05-26,ES
133,Persistent directional firmware,Horror|Drama|Action,null,invalid-date,JP
134,Ergonomic dedicated core,Sci-Fi,$18.22,2004-08-20,FR
135,Configurable content-based framework,Romance,$5.98,2004-05-02,FR
136,Multi-channeled 3rdgeneration projection,Sci-Fi,$5.49,invalid-date,US
137,Balanced global throughput,Comedy|Romance,$15.94,2003-06-24,DE
138,Compatible incremental knowledgebase,Comedy|Romance,$7.01,1990-09-14,US
139,Profound high-level customer loyalty,,$17.53,1986-02-15,JP
140,Adaptive tertiary contingency,,$19.86,2020-06-01,UK
141,Sharable client-driven pricing structure,Action|Comedy|Sci-Fi,$14.19,2004-11-02,FR
142,Synergized attitude-oriented definition,Sci-Fi,$18.36,1992-12-27,ES
143,Cloned composite benchmark,,$18.42,2009-06-13,ES
144,Organized grid-enabled groupware,Sci-Fi|Comedy|Action,$18.19,2006-10-19,UK
